brand | performance%,values% | mistake1%-mistake7% | responsibility1%-responsibility7% | purchase1%-purchase7%
chick-fil-a | 0.3333333333333333 , 0.6666666666666667 | 0.3020833333333333,0.09375,0.11458333333333333,0.17708333333333334,0.1875,0.0625,0.0625 | 0.08333333333333333,0.08333333333333333,0.0625,0.11458333333333333,0.21875,0.25,0.1875 | 0.0625,0.052083333333333336,0.08333333333333333,0.19791666666666666,0.13541666666666666,0.15625,0.3125
Delta Airlines | 0.803921568627451 , 0.196078431372549 | 0.08823529411764706,0.08823529411764706,0.09803921568627451,0.19607843137254902,0.16666666666666666,0.2549019607843137,0.10784313725490197 | 0.0196078431372549,0.0784313725490196,0.08823529411764706,0.13725490196078433,0.2549019607843137,0.24509803921568626,0.17647058823529413 | 0.0392156862745098,0.0392156862745098,0.0784313725490196,0.20588235294117646,0.21568627450980393,0.20588235294117646,0.21568627450980393
Nike | 0.38461538461538464 , 0.6153846153846154 | 0.21153846153846154,0.14423076923076922,0.125,0.17307692307692307,0.14423076923076922,0.09615384615384616,0.10576923076923077 | 0.07692307692307693,0.028846153846153848,0.07692307692307693,0.1346153846153846,0.20192307692307693,0.2692307692307692,0.21153846153846154 | 0.019230769230769232,0.04807692307692308,0.0673076923076923,0.125,0.21153846153846154,0.2403846153846154,0.28846153846153844
Nordstrom's | 0.39814814814814814 , 0.6018518518518519 | 0.2777777777777778,0.12962962962962962,0.10185185185185185,0.25,0.1111111111111111,0.08333333333333333,0.046296296296296294 | 0.12037037037037036,0.08333333333333333,0.08333333333333333,0.12037037037037036,0.2222222222222222,0.2037037037037037,0.16666666666666666 | 0.07407407407407407,0.05555555555555555,0.09259259259259259,0.18518518518518517,0.19444444444444445,0.23148148148148148,0.16666666666666666
Southwest Airlines | 0.8645833333333334 , 0.13541666666666663 | 0.052083333333333336,0.052083333333333336,0.16666666666666666,0.23958333333333334,0.22916666666666666,0.20833333333333334,0.052083333333333336 | 0.03125,0.0625,0.125,0.125,0.28125,0.19791666666666666,0.17708333333333334 | 0.052083333333333336,0.125,0.052083333333333336,0.25,0.2604166666666667,0.1875,0.07291666666666667
Starbucks | 0.37962962962962965 , 0.6203703703703703 | 0.25925925925925924,0.1574074074074074,0.1111111111111111,0.2037037037037037,0.1388888888888889,0.06481481481481481,0.06481481481481481 | 0.12037037037037036,0.05555555555555555,0.16666666666666666,0.1388888888888889,0.1574074074074074,0.1574074074074074,0.2037037037037037 | 0.027777777777777776,0.037037037037037035,0.09259259259259259,0.1388888888888889,0.2037037037037037,0.12962962962962962,0.37037037037037035
Taco Bell | 0.7570093457943925 , 0.2429906542056075 | 0.102803738317757,0.08411214953271028,0.06542056074766354,0.17757009345794392,0.14953271028037382,0.1588785046728972,0.2616822429906542 | 0.018691588785046728,0.009345794392523364,0.07476635514018691,0.04672897196261682,0.14953271028037382,0.21495327102803738,0.48598130841121495 | 0.102803738317757,0.08411214953271028,0.06542056074766354,0.18691588785046728,0.19626168224299065,0.18691588785046728,0.17757009345794392
Target | 0.4854368932038835 , 0.5145631067961165 | 0.18446601941747573,0.22330097087378642,0.1553398058252427,0.13592233009708737,0.20388349514563106,0.05825242718446602,0.038834951456310676 | 0.02912621359223301,0.04854368932038835,0.13592233009708737,0.1553398058252427,0.1650485436893204,0.22330097087378642,0.24271844660194175 | 0.0,0.02912621359223301,0.08737864077669903,0.1262135922330097,0.17475728155339806,0.22330097087378642,0.3592233009708738
United Airlines | 0.3548387096774194 , 0.6451612903225806 | 0.056451612903225805,0.06451612903225806,0.056451612903225805,0.11290322580645161,0.13709677419354838,0.23387096774193547,0.3387096774193548 | 0.024193548387096774,0.04838709677419355,0.056451612903225805,0.10483870967741936,0.1774193548387097,0.20967741935483872,0.3790322580645161 | 0.11290322580645161,0.1532258064516129,0.12096774193548387,0.20161290322580644,0.08870967741935484,0.18548387096774194,0.13709677419354838
Volkswagen | 0.5247524752475248 , 0.4752475247524752 | 0.06930693069306931,0.06930693069306931,0.1485148514851485,0.15841584158415842,0.1188118811881188,0.1485148514851485,0.2871287128712871 | 0.0,0.009900990099009901,0.039603960396039604,0.10891089108910891,0.1485148514851485,0.22772277227722773,0.46534653465346537 | 0.12871287128712872,0.10891089108910891,0.07920792079207921,0.2376237623762376,0.18811881188118812,0.16831683168316833,0.0891089108910891
Target | 0.6341463414634146 , 0.36585365853658536 | 0.0975609756097561,0.04878048780487805,0.0975609756097561,0.21951219512195122,0.1951219512195122,0.14634146341463414,0.1951219512195122 | 0.024390243902439025,0.07317073170731707,0.024390243902439025,0.21951219512195122,0.1951219512195122,0.2682926829268293,0.1951219512195122 | 0.12195121951219512,0.04878048780487805,0.0975609756097561,0.1951219512195122,0.3170731707317073,0.12195121951219512,0.0975609756097561
Samsung | 0.8275862068965517 , 0.1724137931034483 | 0.0,0.10344827586206896,0.10344827586206896,0.1724137931034483,0.1724137931034483,0.13793103448275862,0.3103448275862069 | 0.0,0.06896551724137931,0.10344827586206896,0.034482758620689655,0.13793103448275862,0.27586206896551724,0.3793103448275862 | 0.0,0.034482758620689655,0.034482758620689655,0.27586206896551724,0.3448275862068966,0.1724137931034483,0.13793103448275862
General Moters (GM) | 0.7708333333333334 , 0.22916666666666663 | 0.041666666666666664,0.0,0.08333333333333333,0.10416666666666667,0.22916666666666666,0.1875,0.3541666666666667 | 0.0,0.020833333333333332,0.0625,0.125,0.22916666666666666,0.22916666666666666,0.3333333333333333 | 0.08333333333333333,0.08333333333333333,0.125,0.22916666666666666,0.16666666666666666,0.20833333333333334,0.10416666666666667
Johnson & Johnson | 0.7380952380952381 , 0.26190476190476186 | 0.0,0.047619047619047616,0.11904761904761904,0.21428571428571427,0.23809523809523808,0.16666666666666666,0.21428571428571427 | 0.0,0.023809523809523808,0.047619047619047616,0.16666666666666666,0.30952380952380953,0.16666666666666666,0.2857142857142857 | 0.07142857142857142,0.047619047619047616,0.14285714285714285,0.2619047619047619,0.2857142857142857,0.07142857142857142,0.11904761904761904
Wells Fargo | 0.6304347826086957 , 0.3695652173913043 | 0.06521739130434782,0.06521739130434782,0.043478260869565216,0.043478260869565216,0.2391304347826087,0.17391304347826086,0.3695652173913043 | 0.0,0.021739130434782608,0.06521739130434782,0.08695652173913043,0.13043478260869565,0.13043478260869565,0.5652173913043478 | 0.17391304347826086,0.1956521739130435,0.1956521739130435,0.1956521739130435,0.10869565217391304,0.08695652173913043,0.043478260869565216
FOX News | 0.20512820512820512 , 0.7948717948717949 | 0.15384615384615385,0.2564102564102564,0.02564102564102564,0.20512820512820512,0.23076923076923078,0.05128205128205128,0.07692307692307693 | 0.05128205128205128,0.1794871794871795,0.1282051282051282,0.1282051282051282,0.23076923076923078,0.23076923076923078,0.05128205128205128 | 0.20512820512820512,0.07692307692307693,0.07692307692307693,0.15384615384615385,0.23076923076923078,0.1282051282051282,0.1282051282051282
