Facebook_page_id , Facebook_page_name , Facebook_category, Internal_use
100009869464 , sls-hotel-a-luxury-collection-hotel-beverly-hills , brands/accommodation , facebook
100064773659 , camelbak , brands/sporting-goods , facebook
100151130045456 , the-bodyholiday , brands/accommodation , facebook
100164536718543 , massmutual , brands/finance/insurance , facebook
100198858540 , ariat , brands/sporting-goods , facebook
100201263360043 , shakey-s-usa , brands/retail-food , facebook
10022826163 , western-michigan-university , society/education , facebook
10023188844 , nipsey-hussle , celebrities/singer , facebook
100266560805 , w-south-beach , brands/accommodation , facebook
10036618151 , ihop , brands/retail-food , facebook
10039630865 , mark-henry , celebrities/sport-star , facebook
100484820802 , itunes , brands/ecommerce/paid-music-video , facebook
100488814000 , kellogg-s , brands/fmcg-food/confectionery , facebook
10049970637 , the-university-of-oklahoma , society/education , facebook
100526673914 , purdue-university , society/education , facebook
100535044239 , cococozy , brands/home-living/furniture , facebook
100804800009855 , triumph-hotels , brands/accommodation , facebook
100834231907 , tosh-0 , entertainment/broadcast-show , facebook
100856529958746 , jw-marriott-orlando-grande-lakes , brands/accommodation , facebook
100868018223 , drury-hotels , brands/accommodation , facebook
101049933288086 , evamor-natural-artesian-water , brands/beverages/water , facebook
101120701034 , silpada-designs , brands/fashion/jewelry , facebook
10115818250 , birds-blooms-magazine , media/magazines-journals , facebook
101170138323 , hard-rock-hotel-san-diego , brands/accommodation , facebook
10117648713 , randy-orton , celebrities/sport-star , facebook
101202796604801 , shameless-on-showtime , entertainment/broadcast-show , facebook
10127766782 , the-clift-hotel , brands/accommodation , facebook
10128918116 , gavin-newsom , society/politics , facebook
101306095226 , joel-osteen-ministries , community/religion , facebook
101306386242 , arkansas-razorbacks , sport/sport-club , facebook
10136951825 , batista , celebrities/sport-star , facebook
101432317199 , blue-cross-and-blue-shield-association , society/ngo , ACSIbrands
101487763234011 , jw-marriott-scottsdale-camelback-inn-resort-spa , brands/accommodation , facebook
10150127689430401 , percy-harvin , celebrities/sport-star , facebook
10150136203045543 , extreme-makeover-home-edition , entertainment/broadcast-show , facebook
10150141904070054 , in-this-moment , celebrities/musician , facebook
10150153141105193 , north-carolina-tar-heels , sport/sport-club , facebook
101504357409 , radioshack , brands/retail/electronics-retailers , facebook
10155847541 , stevie-wonder , celebrities/singer , facebook
101570651187 , texas-renaissance-festival , entertainment/event , facebook
101572146761 , washington-capitals , sport/sport-club , facebook
101589272891 , make-it-or-break-it , entertainment/broadcast-show , facebook
101616856688 , subaru-of-america-inc , brands/auto , ACSIbrands
10162931178 , tobymac , celebrities/singer , facebook
10170365846 , travis-barker , celebrities/musician , facebook
101761618135 , elite-archery , brands/sporting-goods , facebook
101786016079 , paramount-hotel-times-square-new-york , brands/accommodation , facebook
101825269854515 , clint-dempsey , celebrities/sport-star , facebook
10194232153 , hudson-hotel , brands/accommodation , facebook
101961456910 , marmot , brands/sporting-goods , facebook
101985679876648 , warwick-melrose-dallas , brands/accommodation , facebook
10206465235 , justin-moore , celebrities/musician , facebook
10212595263 , metallica , celebrities/musician , facebook
102147463157061 , metro-by-t-mobile , brands/telecom , facebook
102207349819420 , zico-coconut-water , brands/beverages/soft-drink , facebook
102317947967 , leupold-optics , brands/sporting-goods , facebook
102381354573 , washington-redskins , sport/sport-club , facebook
102394536471834 , the-st-regis-washington-d-c , brands/accommodation , facebook
10254284993 , zildjian-company , entertainment/film-music-industry/music-instruments , facebook
102570759780101 , hotel-tybee , brands/accommodation , facebook
10262075277 , fuse , media/tv-channels , facebook
102621172007 , dollar-tree , brands/retail/hypermarkets-supermarkets , ACSIbrands
102666876445950 , bob-s-burgers , celebrities/broadcast-star , facebook
10270726229 , kane , celebrities/sport-star , facebook
102837855931 , material-girls , brands/retail/fashion-retailers , facebook
102867543101130 , new-jersey-state-police , society/governmental , facebook
102884280145 , the-capital-grille , brands/retail-food , facebook
102967786410865 , armyreserve-1st-msc , society/governmental , facebook
103038579756089 , espn-first-take , entertainment/broadcast-show , facebook
103049983066082 , mega-96-3fm , media/radio-media , facebook
10325470529 , eric-cantor , society/politics , facebook
103368083911 , john-calipari , celebrities/sport-star , facebook
103386926699 , frontier-airlines , brands/airlines , ACSIbrands
103410159695690 , billy-graham-library , place/cultural-center , facebook
103448256397489 , the-st-regis-new-york , brands/accommodation , facebook
103479291303 , lange , brands/sporting-goods , facebook
103484575747 , stylin-online , brands/ecommerce/e-shop , facebook
