Date,Open,High,Low,Close,Volume
12/1/15,33.869999,36.389999,32.209999,33.259998,16623500
11/2/15,35.459999,35.48,32.119999,33.810001,13871700
10/1/15,28.950001,35.700001,28.43,35.619999,17437300
9/1/15,31.49,32.830002,27.200001,28.91,22885600
8/3/15,36.669998,37.709999,29,32.240002,15719000
7/1/15,39.459999,39.98,36.580002,36.669998,12851100
6/1/15,43.049999,43.779999,38.849998,39.290001,11995000
5/1/15,42.549999,45.07,39.119999,42.939999,18233000
4/1/15,44.450001,46.169998,42.259998,42.57,14137800
3/2/15,44.060001,45.669998,41.970001,44.439999,13743900
2/2/15,44.43,45.25,42.540001,44.279999,14479100
1/2/15,50.66,50.779999,41.799999,43.990002,25554600
12/1/14,51.43,51.68,48.290001,50.509998,16328900
11/3/14,46.049999,52.619999,45.740002,51.740002,25212400
10/1/14,40.66,46.52,36.200001,46.049999,32907000
9/2/14,38.900002,44.009998,37.900002,40.75,59562900
8/1/14,35.689999,38.720001,35.150002,38.509998,14516900
7/1/14,35.5,36.990002,32.93,35.810001,24392600
6/2/14,34.689999,37.060001,33.02,35.130001,17672000
5/1/14,36.259998,37.169998,33.099998,34.650002,20377100
4/1/14,36.16,37.299999,32.150002,35.950001,29490300
3/3/14,37.650002,40.150002,35.049999,35.900002,19714800
2/3/14,35.939999,39.380001,34.66,38.669998,15895000
1/2/14,40.369999,41.720001,34.450001,36.009998,22947000
12/2/13,37.040001,41.049999,36.25,40.439999,15105900
11/1/13,33.150002,37.349998,32.060001,36.98,16738800
10/1/13,33.360001,35.060001,31.700001,32.939999,24592600
9/3/13,27.379999,33.849998,27.370001,33.169998,19355900
8/1/13,28.35,28.6,26.75,27.120001,12955200
7/1/13,25.26,29.83,24.82,28.09,22433900
6/3/13,26.370001,27.120001,23.82,25.129999,17054000
5/1/13,24.67,27.68,24.18,26.299999,18279000
4/1/13,23.309999,25.370001,22.700001,24.73,18242700
3/1/13,21.360001,23.879999,21.26,23.530001,19990700
2/1/13,19.77,21.57,19.309999,21.309999,18966100
1/2/13,20.200001,20.879999,18.889999,19.629999,24686400
12/3/12,18.549999,19.969999,18.34,19.9,21496100
11/1/12,16.9,19.16,16.860001,18.77,27813200
10/1/12,16,16.889999,15.65,16.84,23074600
9/4/12,14.64,16.200001,14.59,15.98,21900500
8/1/12,15.86,16.370001,14.59,14.65,17527600
7/2/12,15.8,16.17,15.23,15.84,15348400
6/1/12,15.04,15.83,14.81,15.83,14102700
5/1/12,15.51,16,14.8,15.24,19935500
4/2/12,15.19,15.7,14.73,15.54,16640200
3/1/12,14.89,15.61,14.35,15.22,15408200
2/1/12,15.57,16.309999,14.37,14.83,22020900
1/3/12,16.27,16.389999,15.35,15.47,18167300
12/1/11,16.42,16.459999,14.57,16.129999,21943000
11/1/11,14.95,16.5,14.75,15.71,24382900
10/3/11,13.7,16.790001,13.37,15.64,36438000
9/1/11,13.67,15.4,12.45,13.17,42743300
8/1/11,13.24,13.98,11.09,13.61,33473700
7/1/11,15.08,15.95,13.04,13.1,29550000
6/1/11,16.34,16.43,14.5,15.04,25772600
5/2/11,17.790001,18.84,15.63,16.549999,41113700
4/1/11,16.83,17.77,16.059999,17.700001,20728700
3/1/11,16.459999,17.700001,15.81,16.68,25018300
2/1/11,16.33,17.84,16.040001,16.4,24578700
1/3/11,16.809999,17.34,15.41,16.120001,23201900
12/1/10,16,17.219999,16,16.629999,12970200
11/1/10,16.5,17.6,15.77,15.82,21166800
10/1/10,14.19,16.76,14.13,16.49,29726500
9/1/10,13.2,14.53,13.13,14.17,27527400
8/2/10,14.01,14.52,12.94,13.11,13811800
7/1/10,13.99,15.6,13.52,13.88,24186600
6/1/10,15.31,15.84,13.79,13.84,21523300
5/3/10,16.68,16.99,14.63,15.34,26797300
4/1/10,16.58,19.120001,16.219999,16.530001,33650200
3/1/10,15.43,16.940001,15.4,16.530001,21831600
2/1/10,15.14,15.71,14.48,15.31,21501000
1/4/10,16.940001,17.299999,14.9,15.01,24600000
